"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"29-APR-2026","EMCURE","Emcure Pharmaceuticals L","BC INVESTMENTS IV LIMITED","SELL","18,00,000","1,608.20",
"29-APR-2026","EMCURE","Emcure Pharmaceuticals L","NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL","BUY","18,00,000","1,608.20",
"07-MAY-2026","SOFTTECH","Softtech Engineers Ltd","ELIMATH ADVISORS PRIVATE LIMITED","SELL","22,46,998","408.00",
"07-MAY-2026","SOFTTECH","Softtech Engineers Ltd","FEDEX FINANCE PRIVATE LIMITED","BUY","22,46,998","408.00",
"08-MAY-2026","ANZEN","Anzen Ind Ene Yld Plu Tru","AZIM PREMJI TRUST","SELL","50,00,000","122.25",
"08-MAY-2026","ANZEN","Anzen Ind Ene Yld Plu Tru","PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED","BUY","50,00,000","122.25",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ABG CAPITAL","SELL","49,72,260","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ABG CAPITAL FDI","SELL","42,36,560","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","55,74,490","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ALPHA WAVE VENTURES II LP","SELL","1,57,16,074","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ALPHA WAVE VENTURES II LP","SELL","2,15,00,000","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","AMX CCF  SANDS  GLOBAL GROWTH","BUY","4,81,282","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","AON COLLECTIVE INVESTMENT TRUST","BUY","3,90,005","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","APT UNIVERSAL  FONDS","BUY","18,073","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","5,057","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","5,291","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","19,681","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","AXIS MAX LIFE INSURANCE LIMITED","BUY","23,59,031","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BAJAJ LIFE INSURANCE LIMITED","BUY","30,85,870","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BIRDSEYE VIEW HOLDINGS II PTE LIMITED","SELL","1,66,69,451","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BIRDSEYE VIEW HOLDINGS II PTE LTD","SELL","1,66,69,344","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK CAPITAL ALLOCATIO TERM TR","BUY","2,45,828","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION COLLECTIVE FUND","BUY","2,10,905","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION FUND AUST","BUY","15,064","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION FUND INC","BUY","13,60,613","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION PORTFOLIO OF BLACKROCK SERIES FUND INC","BUY","13,010","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL ALLOCATION V I FUND OF BLACKROCK VARIABLE SERIES FUNDS INC","BUY","3,16,358","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL FUNDS GLOBAL ALLOCATION FUND","BUY","14,48,262","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BLACKROCK GLOBAL FUNDSINDIA FUND","BUY","5,15,691","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BOFA SECURITIES EUROPE SA","BUY","5,29,570","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","BOFA SECURITIES EUROPE SA  ODI","BUY","10,59,140","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","CANARA ROBECO MUTUAL FUND","BUY","5,29,570","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","CASEY FAMILY PROGRAMS","BUY","34,099","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","CG TPT GLOBAL EQUITY FUND","BUY","2,16,529","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD SSB","BUY","5,29,570","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLOYEES RETIREMENT SYSTEM","BUY","4,12,626","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","DENDANA INVESTMENTS MAURITIUS LIMITED","BUY","33,114","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","EPIQ CAPITAL II","BUY","11,40,680","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","EWING MARION KAUFFMAN FOUNDATION","BUY","1,62,285","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","FIDELITY FUNDS INDIA FOCUS FUND","BUY","9,95,190","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","FIDELITY INDIA FUND","BUY","87,526","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","GENERAL PENSION AND SOCIAL SECURITY AUTHORITY","BUY","5,26,049","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","GHISALLO MASTER FUND LP","BUY","5,29,570","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","GOLDMAN SACHS BANK EUROPE SE","BUY","5,30,000","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","HDFC MUTUAL FUND","BUY","98,59,638","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","HDFC MUTUAL FUND","BUY","4,92,982","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","HDFC STANDARD LIFE INSURANCE CO LTD","BUY","5,29,570","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","HP INC MASTER TRUST","BUY","16,046","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","HSBC MUTUAL FUND","BUY","51,76,310","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED","BUY","37,82,680","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","ICICI PRUDENTIAL MUTUAL FUND","BUY","33,66,594","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","INDIA ACORN ICAV - ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND","BUY","29,86,438","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","JNL BLACKROCK GLOBAL ALLOCATION FUND","BUY","2,69,794","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","KARIBA HOLDINGS IV MAURITIUS","SELL","18,64,162","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","KARIBA HOLDINGS IV MAURITIUS","SELL","20,60,910","473.40",
"08-MAY-2026","LENSKART","Lenskart Solutions Ltd","KEDAARA CAPITAL PUBLIC MARKETS FUND I","BUY","9,50,570","473.40",
