Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
22-JUN-2026,ASIANTILES,Asian Granito India Limit,CORE INC,BUY,2076320,56.13,-
22-JUN-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,BUY,469237,30.43,-
22-JUN-2026,DENTA,Denta Water N Infra Sol L,QE SECURITIES LLP,BUY,145151,319.29,-
22-JUN-2026,DENTA,Denta Water N Infra Sol L,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,170895,328.18,-
22-JUN-2026,DENTA,Denta Water N Infra Sol L,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,310573,324.36,-
22-JUN-2026,DENTA,Denta Water N Infra Sol L,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,207102,323.85,-
22-JUN-2026,DENTA,Denta Water N Infra Sol L,MICROCURVES TRADING PRIVATE LIMITED,BUY,239626,328.50,-
22-JUN-2026,DENTA,Denta Water N Infra Sol L,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,159652,325.35,-
22-JUN-2026,EIMCOELECO,Eimco Elecon (India) Ltd.,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,33150,1787.07,-
22-JUN-2026,EMSLIMITED,EMS Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,420712,399.20,-
22-JUN-2026,EMSLIMITED,EMS Limited,QE SECURITIES LLP,BUY,346650,398.30,-
22-JUN-2026,EMSLIMITED,EMS Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,385137,400.52,-
22-JUN-2026,EMSLIMITED,EMS Limited,HRTI PRIVATE LIMITED,BUY,342517,399.26,-
22-JUN-2026,EPACK,EPACK Durable Limited,HRTI PRIVATE LIMITED,BUY,528449,259.94,-
22-JUN-2026,EPACK,EPACK Durable Limited,QE SECURITIES LLP,BUY,1346401,261.70,-
22-JUN-2026,EPACK,EPACK Durable Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,931039,260.93,-
22-JUN-2026,EPACK,EPACK Durable Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,808345,259.80,-
22-JUN-2026,EPACK,EPACK Durable Limited,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,556364,262.60,-
22-JUN-2026,EPACK,EPACK Durable Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,998395,261.75,-
22-JUN-2026,ESSENTIA,Integra Essentia Limited,GI ENGINEERING SOLUTIONS LIMITED,BUY,16000000,1.42,-
22-JUN-2026,EXXARO,Exxaro Tiles Limited,GIRIRAJ RATAN DAMANI,BUY,4000000,6.90,-
22-JUN-2026,EXXARO,Exxaro Tiles Limited,L7 HITECH PRIVATE LIMITED,BUY,3400000,6.92,-
22-JUN-2026,EXXARO,Exxaro Tiles Limited,BHAVISHYA ECOMMERCE PRIVATE LIMITED,BUY,3273804,6.90,-
22-JUN-2026,EXXARO,Exxaro Tiles Limited,RAJ KUMAR PATNI,BUY,2900000,6.94,-
22-JUN-2026,FALCONTECH,Falcon Technoproj Ind Ltd,NIKI ANKUR SHAH,BUY,30000,12.73,-
22-JUN-2026,GCHOTELS,Grand Continent Hotels L,DEBASHISH NEOGI,BUY,252000,135.76,-
22-JUN-2026,IGARASHI,Igarashi Motors India Lim,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,190675,471.86,-
22-JUN-2026,IGARASHI,Igarashi Motors India Lim,QE SECURITIES LLP,BUY,185075,474.25,-
22-JUN-2026,IGARASHI,Igarashi Motors India Lim,HRTI PRIVATE LIMITED,BUY,158220,473.50,-
22-JUN-2026,IGARASHI,Igarashi Motors India Lim,MICROCURVES TRADING PRIVATE LIMITED,BUY,205063,472.04,-
22-JUN-2026,KRISHPP,KRISHIVAL Re.3.50 ppd up,INDUSTRIAL INVESTMENT TRUST LTD,BUY,97505,123.61,-
